Filings Report,,,,,,,,,,
"Generated on Monday, 19 October 2020 at 18:53 PDT",,,,,,,,,,
,,,,,,,,,,
CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1434728,Secondary,Global Water Resources Inc.,"Phoenix, AZ",GWRS,Nasdaq NM,2020-09-09,-,-,$100.0 mil.,Shelf Registration (mixed)
1604821,Secondary,"Natera, Inc.","San Carlos, CA",NTRA,Nasdaq NM,2020-09-09,-,-,$250.0 mil.,"J.P. Morgan, Morgan Stanley, Cowen, SVB Leerink, Baird, Craig-Hallum Capital Group"
1205922,Secondary,"Vaccinex, Inc.","Rochester, NY",VCNX,Nasdaq NM,2020-09-09,-,-,$113.0 mil.,Jefferies
1728688,Secondary,"i3 Verticals, Inc.","Nashville, TN",IIIV,Nasdaq NM,2020-09-09,-,-,$250.0 mil.,"BofA Securities, Morgan Stanley"
1740594,Secondary,Arco Platform Ltd.,"Vila Olímpia, São Paulo, BRAZIL",ARCE,Nasdaq NM,2020-09-09,-,-,$112.0 mil.,"Goldman Sachs & Co., Morgan Stanley, Itaú BBA"
1567514,Secondary,"Intra-Cellular Therapies, Inc.","New York, NY",ITCI,Nasdaq NM,2020-09-09,-,-,$350.0 mil.,"J.P. Morgan, Goldman Sachs & Co., SVB Leerink, Evercore ISI, Cantor, Canaccord Genuity"
1006837,Secondary,"HC2 Holdings, Inc.","New York, NY",HCHC,NYSE,2020-09-09,-,-,$65.0 mil.,Shelf Registration (mixed)
1596946,Secondary,Quotient Ltd,"Midlothian, UNITED KINGDOM",QTNT,Nasdaq NM,2020-09-09,-,-,$75.0 mil.,"Goldman Sachs & Co., Cowen, BTIG"
1616212,Secondary,Trillium Therapeutics Inc.,"Mississauga, Ontario, CANADA",TRIL,Nasdaq NM,2020-09-09,-,-,$130.0 mil.,"Evercore ISI, Cowen, JMP Securities, Ladenburg Thalmann, Jones Trading"
1017491,Secondary,"Seelos Therapeutics, Inc.","New York, NY",SEEL,Nasdaq NM,2020-09-08,-,-,$7.00 mil.,Roth Capital Partners
1518913,Secondary,DermTech International,"La Jolla, CA",DMTK,Nasdaq NM,2020-09-08,-,-,$200.0 mil.,Shelf Registration (mixed)
1300699,Secondary,"Athenex, Inc.","Buffalo, NY",ATNX,Nasdaq NM,2020-09-08,-,-,$110.0 mil.,"SVB Leerink, RBC Capital Markets, Evercore ISI, Oppenheimer & Co. Inc."
1651625,Secondary,AC Immune SA,"Lausanne, SWITZERLAND",ACIU,Nasdaq NM,2020-09-08,-,-,$80.0 mil.,Jefferies
1322505,Secondary,"Albireo Pharma, Inc.","Boston, MA",ALBO,Nasdaq NM,2020-09-08,-,-,$160.0 mil.,"Cowen, William Blair & Co."
